"YEAR", "DDD", "MM", "DD", "HH", "mm", "hh_mmm", "ZNAGL", "dw_psp", "qc", "uw_psp", "qc", "direct", "qc", "diffuse", "qc", "dw_pir", "qc", "dwCasTmp", "qc", "dwDomTmp", "qc", "uw_pir", "qc", "uwCastmp", "qc", "uwDomtmp", "qc", "uvb", "qc", "par", "qc", "netSolar", "qc", "netIr", "qc", "totalNet", "qc", "temp", "qc", "rh", "qc", "windSp", "qc", "winsDir", "qc", "Baro", "qc"
1995,1,1,1,2,6,2.100,128.66,-5.7,0,-0.1,0,-0.8,0,-9999.9,1,318.6,0,276.0,0,275.3,0,314.1,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,9,2.150,129.23,-5.5,0,-0.3,0,-1.0,0,-9999.9,1,318.5,0,276.0,0,275.4,0,313.2,0,273.0,0,273.2,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,12,2.200,129.81,-5.9,0,-0.2,0,-0.7,0,-9999.9,1,318.3,0,276.0,0,275.4,0,314.1,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,15,2.250,130.38,-5.8,0,-0.2,0,-0.8,0,-9999.9,1,317.8,0,276.0,0,275.4,0,313.7,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,18,2.300,130.95,-5.9,0,-0.2,0,-0.8,0,-9999.9,1,317.2,0,276.0,0,275.4,0,313.7,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,21,2.350,131.53,-5.8,0,-0.2,0,-0.9,0,-9999.9,1,317.1,0,276.0,0,275.4,0,313.4,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,24,2.400,132.10,-5.9,0,-0.1,0,-0.8,0,-9999.9,1,316.8,0,276.1,0,275.4,0,313.8,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,27,2.450,132.67,-5.8,0,-0.1,0,-0.9,0,-9999.9,1,315.7,0,276.1,0,275.4,0,313.6,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,30,2.500,133.24,-6.2,0,-0.2,0,-0.9,0,-9999.9,1,313.5,0,276.1,0,275.5,0,313.3,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,33,2.550,133.81,-6.2,0,-0.2,0,-0.9,0,-9999.9,1,311.6,0,276.1,0,275.5,0,313.7,0,273.0,0,273.1,0,0.0,0,0.4,0,0.0,0,-2.1,0,-2.1,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,36,2.600,134.38,-6.1,0,-0.2,0,-1.0,0,-9999.9,1,307.1,0,276.1,0,275.4,0,313.2,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,-6.1,0,-6.1,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,39,2.650,134.95,-6.3,0,-0.2,0,-0.8,0,-9999.9,1,306.5,0,276.1,0,275.4,0,312.8,0,272.9,0,273.0,0,0.0,0,0.6,0,0.0,0,-6.3,0,-6.3,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,42,2.700,135.52,-6.4,0,-0.3,0,-0.7,0,-9999.9,1,315.0,0,276.1,0,275.4,0,313.5,0,273.0,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
